name,city,rating,rating_count,cost,cuisine,address
AB FOODS POINT,Abohar,--,Too Few Ratings,₹ 200,"Beverages,Pizzas","AB FOODS POINT, NEAR RISHI NARANG DENTAL CLINIC , NEAR IDBI BANK, ABOHAR"
Janta Sweet House,Abohar,4.4,50+ ratings,₹ 200,"Sweets,Bakery","Janta Sweet House, Bazar No.9, Circullar Road, Abohar"
theka coffee desi,Abohar,3.8,100+ ratings,₹ 100,Beverages,"theka coffee desi, sahtiya sadan road city"
Singh Hut,Abohar,3.7,20+ ratings,₹ 250,"Fast Food,Indian","Singh Hut, CIRCULAR ROAD NEAR NEHRU PARK ABOHAR"
GRILL MASTERS,Abohar,--,Too Few Ratings,₹ 250,"Italian-American,Fast Food","GRILL MASTERS, ADA Heights, Abohar - Hanumangarh Rd, Raipura, Abohar, Punjab 152116, India"
Sam Uncle,Abohar,3.6,20+ ratings,₹ 200,Continental,"Sam Uncle, hanumangarh road near raja bajaj showroom abohar"
shere punjab veg,Abohar,4.0,100+ ratings,₹ 150,North Indian,"shere punjab veg, major surinder chowk near verma sons petrol pump and lic building abohar"
Shri Balaji Vaishno Dhaba,Abohar,--,Too Few Ratings,₹ 100,North Indian,"Shri Balaji Vaishno Dhaba, St no 13,6th chowk,main Bazar,near jain bhawan, abohar"
Hinglaj Kachori Bhandhar,Abohar,4.2,20+ ratings,₹ 100,"Snacks,Chaat","Hinglaj Kachori Bhandhar, street no 11 circular road ,Abohar"
yummy hub,Abohar,--,Too Few Ratings,₹ 200,Indian,"yummy hub, hanumangarh road near dr naveen sethi hospitalabohar"
CHAWLA SAAB THE JUICE MASTER,Abohar,--,Too Few Ratings,₹ 300,"Juices,Beverages","CHAWLA SAAB THE JUICE MASTER, SAHITYA SADAN MARKET, ABOHAR ,  Abohar (M Cl) , Fazilka 1(Abohar), Fazilka,  Punjab-152116"
Sethi Milk Badam,Abohar,4.2,20+ ratings,₹ 100,"Sweets,Desserts","Sethi Milk Badam, main bazar street no 11 abohar"
Swastik Dhaba,Abohar,--,Too Few Ratings,₹ 200,North Indian,"Swastik Dhaba, Gaushala road street no 22 near shiv mandir abohar"
Jodhpuri Kachori,Abohar,--,Too Few Ratings,₹ 100,Snacks,"Jodhpuri Kachori, mandi 1 street no 4 main bazar near sbi bank abohar"
Bharawan Da Dhaba,Abohar,4.4,50+ ratings,₹ 300,Indian,"Bharawan Da Dhaba, rimpy bakery 12 circular road main bazar abohar"
Tandoori Nights,Abohar,--,Too Few Ratings,₹ 300,Tandoor,"Tandoori Nights, near civil hospital canteen abohar"
Roll Express,Abohar,4.0,20+ ratings,₹ 200,Fast Food,"Roll Express, Roll Express, Opposite Dr. Sarla Sethi Hospital, Near DAV College, Hanumangarh Road, Abohar"
wah ji waah veg and non veg corner,Abohar,--,Too Few Ratings,₹ 200,"North Indian,Chinese","wah ji waah veg and non veg corner, Hanuman garh road, Down the flyover. Near Dr.Navin Sheety Abohar"
Shri Balaji fast food and Variety store,Abohar,--,Too Few Ratings,₹ 100,Indian,"Shri Balaji fast food and Variety store, opposite Loona Nursing home"
FOODY MOOD,Abohar,4.7,20+ ratings,₹ 300,"Fast Food,Chinese","FOODY MOOD, Arya nagar St no 7 Abohar, Abohar (M Cl),  Fazilka 1(Abohar), Fazilka, Punjab - 152116"
PUNJABI TADKA,Abohar,--,Too Few Ratings,₹ 700,"Punjabi,North Indian","PUNJABI TADKA, HANUMANGARH ROAD,UNDER  FLYOVER,OPP SETHI REGENCY ABOHAR,  Abohar (M Cl), Fazilka 1(Abohar), Fazilka,  Punjab - 152116"
PUNJABI TADKA CHICKEN HUB,Abohar,--,Too Few Ratings,₹ 650,"North Indian,Tandoor","PUNJABI TADKA CHICKEN HUB, HANUMANGARH ROAD,UNDER  FLYOVER,OPP SETHI REGENCY ABOHAR,  Abohar (M Cl), Fazilka 1(Abohar), Fazilka,  Punjab - 152116"
Royal Chicken,Abohar,4.2,20+ ratings,₹ 200,"Mughlai,North Indian","Royal Chicken, Near Naveen Sethi Hospital, Under Flyover, Abohar"
Just Baked,Abohar,--,Too Few Ratings,₹ 300,"Beverages,Pizzas","Just Baked, New Abadi, Ward no. 22, Abohar (M Cl), Fazilka 1(Abohar), Fazilka, Punjab - 152116"
Picado International Food,Abohar,--,Too Few Ratings,₹ 300,"Pizzas,Beverages","Picado International Food, Opp New Grain Market, Fazilka Road, Abohar"
PubG Cafe,Abohar,--,Too Few Ratings,₹ 200,"Chinese,Pizzas","PubG Cafe, St. No 2, Near Essar petrol pump, Sitto  road, Model Town , Abohar, Fazilka,  Abohar (M Cl), Fazilka 1(Abohar), Fazilka,  Punjab - 152116"
Verma Dhaba,Abohar,--,Too Few Ratings,₹ 300,Indian,"Verma Dhaba, GangaNagar Road, Near Tara Estate, Abohar"
Fresh Food Cafe,Abohar,--,Too Few Ratings,₹ 150,North Indian,"Fresh Food Cafe, Sito Road, Near Railway Crossing, Model Town, Abohar"
NAVU PIZZA HOUSE,Abohar,--,Too Few Ratings,₹ 300,"Pizzas,Fast Food","NAVU PIZZA HOUSE, COLLEGE ROAD ABOHAR,ABOHAR,FAZILKA 1,FAZILKA PUNJAB-152116"
Domino's Pizza,Abohar,4.4,20+ ratings,₹ 400,Pizzas,"Domino's Pizza, ADAHeights,HanumangarhRoad,SunderNagari,Abohar,District,Fazilka"
Joker Cafe,Abohar,--,Too Few Ratings,₹ 200,Indian,"Joker Cafe, First Floor, Shop No.226, City Walk  Mall, College Road, Fazilka  1(Abohar), Fazilka, , Punjab, 152116"
Deepak Dhaba,Abohar,--,Too Few Ratings,₹ 350,"North Indian,Chinese","Deepak Dhaba, Sito Chowk Near By Pass, Abohar"
FUN TIME (SHARMA DAIRY),Abohar,--,Too Few Ratings,₹ 300,Ice Cream,"FUN TIME (SHARMA DAIRY), ST NO. 10,NEW ABADI ABOHAR,FAZILKA,PUNJAB 152116"
Pari Healthy Food,Abohar,--,Too Few Ratings,₹ 300,"Pizzas,American","Pari Healthy Food, Dhani Bishesharnath, Kandhwal Road, Abohar"
Bhatti Ki Rasoi,Abohar,--,Too Few Ratings,₹ 200,North Indian,"Bhatti Ki Rasoi, HANUMANGARH ROAD, AZIMGARH CHUNGI, Fazilka, Punjab- 152116"
SETHI PUNJABI RASOI,Abohar,--,Too Few Ratings,₹ 300,Indian,"SETHI PUNJABI RASOI, HANUMANGARH ROAD NEAR AZIMGARH  CHUNGI OPPOSITE BABA DEEP SINGH  GURUDHWARA ABOHAR, Abohar (M Cl),  Fazilka 1(Abohar), Fazilka, Punjab - 152116"
Kurda Ram Desi Ghee Dhaba(Original & Famous),Abohar,--,Too Few Ratings,₹ 250,North Indian,"Kurda Ram Desi Ghee Dhaba(Original & Famous), BAZAR NO. 4, ABOHAR, Abohar (M Cl),  Fazilka 1(Abohar), Fazilka, Punjab - 152116"
Paratha 24x7,Abohar,--,Too Few Ratings,₹ 150,"Indian,Thalis","Paratha 24x7, Waryam nagar, Abohar (M Cl), Fazilka   1(Abohar), Fazilka, Punjab - 152116"
NIKKU VEG THALI,Abohar,4.1,100+ ratings,₹ 150,North Indian,"NIKKU VEG THALI, College Road, Near Railway Line, Abohar"
PARJAPATI FAST FOOD,Abohar,--,Too Few Ratings,₹ 200,"Fast Food,American","PARJAPATI FAST FOOD, NEW GRAIN MARKET, NEAR SEWA KENDR, Fazilka 1(Abohar), Fazilka, , Punjab, 152116"
Ganesh Fast Food,Abohar,--,Too Few Ratings,₹ 150,Chaat,"Ganesh Fast Food, Abohar, Fazlika road chowk, near Barundham"
Mitran Da dhaba,Abohar,--,Too Few Ratings,₹ 200,"North Indian,Indian","Mitran Da dhaba, Uttam Vihar colony, gate-2, Last crossing, abohar, Punjab 152116"
The Super Cafe,Abohar,--,Too Few Ratings,₹ 250,Beverages,"The Super Cafe, NAI ABADI, BADI POUDI, ST. NO.19,  Abohar (M Cl), Fazilka 1(Abohar), Fazilka,  Punjab - 152116"
chacha sweets house,Abohar,--,Too Few Ratings,₹ 200,"Sweets,Beverages","chacha sweets house, h no 2402 st no 24 gaushalla road opp sukhmani hospital abohar"
Cafe M,Abohar,--,Too Few Ratings,₹ 200,"Continental,Snacks","Cafe M, NEAR SITO FATAK, OPP LOONA NURSING HOME, ABOHAR,  Fazilka, Punjab- 152116"
Frankie roll junction,Abohar,--,Too Few Ratings,₹ 60,"North Indian,Fast Food","Frankie roll junction, lajpat rai market near nehru park abohar"
G.K Dhaba,Abohar,--,Too Few Ratings,₹ 300,"North Indian,Thalis","G.K Dhaba, Khandwala Road, Abohar"
DAYA RAJ VEG VAISHNO DHABA AND  CATERS,Abohar,--,Too Few Ratings,₹ 300,"Chinese,Snacks","DAYA RAJ VEG VAISHNO DHABA AND  CATERS, THAKKAR ABADI ROAD NEAR RAILWAY  CROSSING ABOHAR, Abohar (M Cl), Fazilka  1(Abohar), Fazilka, Punjab - 152116"
JUICY BAR N RESTO,Abohar,--,Too Few Ratings,₹ 300,"Beverages,Pizzas","JUICY BAR N RESTO, BABA NAMDEV CHOWK, NEAR DOMINOS,  HANUMANGARH ROAD, Abohar (M Cl),  Fazilka 1(Abohar), Fazilka, Punjab - 152116"
FresHub,Abohar,--,Too Few Ratings,₹ 200,Beverages,"FresHub, SHOP NO. 118, CITY WALK MALL, GROUND  FLOOR,HANUMANGARH ROAD,ABOHAR,  Abohar (M Cl), Fazilka 1(Abohar), Fazilka,  Punjab - 152116"
The Food Factory,Abohar,--,Too Few Ratings,₹ 200,"North Indian,South Indian","The Food Factory, SIDHU NAGRI ,ST NO.5, MAIN ROAD, ABOHAR, Abohar (M Cl), Fazilka 1(Abohar), Fazilka"
MUNNA PUNJABI RASOI,Abohar,--,Too Few Ratings,₹ 400,"Chinese,Indian","MUNNA PUNJABI RASOI, HANUMANGARH ROAD NEAR DAV COLLEGE ABOHAR"
Grill Master By Sharda Anita Enterprises,Abohar,--,Too Few Ratings,₹ 250,"Fast Food,Italian","Grill Master By Sharda Anita Enterprises, OPP DOMINO'S PIZZA, NEAR NAMDEV  CHOWK, HANUMANGARH ROAD, ABOHAR,  Fazilka 1(Abohar), Fazilka, Punjab-152116"
Maruti Plaza,Abohar,--,Too Few Ratings,₹ 150,"Beverages,Snacks","Maruti Plaza, house no st no 4 near durga mata mandir abohar"
